czytać,read
dog,dogo
zamek,castle
pies,dog
umierać,die
Polska,Poland
zima,winter
most,bridge
to,this
książka,book
one,they
Dyskusja szablonu:hasło/archiwum szablon,...
dom,house
ogień,fire
stary,old
drzewo,tree
miasto,city
szkoła,school
życie,life
piesek,doggy
przyjaciel,friend
oko,eye
nie,no
król,king
jeść,eat
zupa,soup
okno,window
ucho,ear
jabłko,apple
tęsknota,nostalgia
dziewczyna,girl
sabatarianizm,sabbatarianism
nadzieja,hope
pocztówka,postcard
cicha woda brzegi rwie,still waters run deep
ojciec,father
śmierć,death
apetyt rośnie w miarę jedzenia,appetite comes with eating
prawdziwych przyjaciół poznaje się w biedzie,a friend in need is a friend indeed
arbiter elegantiarum,arbiter elegantiarum#en
strzelec,shooter
woda,water
kot,cat
teść,father-in-law
koń,horse
miłość,love
herbata,tea
piwo,beer
teściowa,mother-in-law
słownik,dictionary
słowo,word
na świętego Dygdy,on the first of never
komputer,computer
czekolada,chocolate
mleko,milk
być,be
styczeń,January
luty,February
marzec,March
kwiecień,April
maj,May
czerwiec,June
lipiec,July
sierpień,August
wrzesień,September
październik,October
listopad,November
grudzień,December
dziecko,child
mars,top
rok,year
miesiąc,month
w,w
stara miłość nie rdzewieje,old love dies hard
chleb,bread
delfin,dolphin
kalendarz,calendar
trącić,smell
sen,sleep
brat,brother
siostra,sister
zenit,zenith
van,van
vel,AKA
via,via
tag,tag
talent,talent
tan,thegn
te,de
tego,that one's
ten,this
termin,term
testament,testament
tombak,tombac
ton,pitch
topaz,topaz
torf,peat
tort,torte
trakt,road
trans,trance
tren,threnody
tri,tri
trik,trick
tron,throne
tropik,tropics
trud,toil
tuf,tuff
tul,thulium
tumult,tumult
tur,auroch
turban,turban
u,of
ul,hive
uniform,uniform
śpioch,late riser
a,and
absces,abscess
afekt,emotion
akcent,stress
alt,alto
amoniak,ammonia
ananas,ananas
aren,arene
argument,point
art,art
as,ace
at,att
atak,attack
atest,certificate
atut,trump
azot,nitrogen
bak,fuel
bar,bar
bark,shoulder
bastion,bastion
bat,whip
bazar,bazaar
bel,bel
blat,table
blond,blond
boa,boa
bon,voucher
bor,boron
boraks,borax
bot,bot
brak,lack
buk,beech
butik,boutique
cedr,cedar
cel,target
cement,cement
cent,cent
ci,these
demon,demon
denar,denar
des,D-flat
detal,detail
dis,D-sharp
do,to
dres,tracksuit
drink,drink
dron,drone
eks,ex
el,el
elekt,elect
em,em
en,en
episkop,episcope
epolet,epaulette
er,ar
etat,day job
facet,bloke
fag,phage
fanfaron,braggart
fantom,phantom
fart,luck
fason,cut
ferm,fermium
fidel,vielle
filtr,filter
flirt,flirt
fok,jib
fork,fork
fort,fort
fortepian,grand
fosfor,phosphorus
fragment,fragment
frak,tailcoat
front,front
fundament,foundation
funt,pound
gad,reptile
gaj,grove
gal,gallium
galon,galloon
garb,hump
gest,gesture
gips,gypsum
glob,globe
golf,turtleneck
grad,hail
graf,graf
granat,hand
grand,grandee
granit,granite
grat,junk
gros,gross
grot,arrowhead
gust,taste
ster,rudder
hak,hook
heder,header
hejt,hate
hel,helium
herb,coat of arms
honor,honor
hotel,hotel
humor,humour
i,and
ibis,ibis
id,id
idol,idol
ind,indium
interes,matter
ja,I
jak,how
jar,ravine
je,them
jen,yen
juk,saddlebag
kadr,frame
kaduk,escheat
kamlot,camlet
kamp,camp
kand,candy
kant,edge
kantor,currency exchange
kapitan,captain
kapitel,capital
karb,indentation
karmin,carmine
karo,diamonds
karp,carp
karton,cardboard
kask,helmet
kat,executioner
katar,katar
kelner,waiter
klarnet,clarinet
kler,clergy
klimat,climate
klin,wedge
klub,club
kobalt,cobalt
kok,bun
kokos,coconut
koks,coke
kolofon,colophon
kolor,colour
komfort,comfort
kompost,compost
kompres,poultice
koncern,concern
konkurs,contest
konsonant,consonant
kontrakt,contract
kontur,contour
kord,cutlass
korpus,trunk
kort,court
kraken,kraken
kran,tap
krater,crater
krem,cream
kret,mole
kurator,legal guardian
kurier,courier
lak,sealing wax
las,forest
li,li
lin,tench
link,link
lir,lira
lit,lithium
log,log
lok,lock
lot,flight
lud,folk
luks,lux
lut,solder
makler,broker
mana,mana
mangan,manganese
mason,mason
mat,leading seaman
medal,medal
medalion,locket
mel,mel
melon,melon
mem,meme
menton,menthone
miks,mix
mirt,myrtle
model,design
mol,mole
moment,moment
monument,monument
mops,pug
mur,wall
mus,must
mustel,smooth-hound
Ne,Neh
ni,nu
nobel,nobelium
nom,nome
numer,number
nur,loon
o,about
oblat,oblate
ok,OK
okaz,specimen
okup,ransom
ole,ole
on,he
oni,they
opal,opal
ot,just
pal,pile
pan,mister
par,peer
pardon,pardon me
park,park
parter,ground floor
partia,party
pas,belt
paser,receiver
pastel,pastel
pat,stalemate
patrol,patrol
pelikan,pelican
pens,penny
peron,platform
pet,butt
pi,pi
pik,spades
pilot,pilot
pirol,pyrrole
plac,square
plan,plan
plik,packet
po,on
poligon,range
por,leek
porfir,porphyry
port,port
porter,porter
portret,portrait
post,fast
pot,sweat
potas,potassium
pretekst,pretext
prezent,gift
procent,per cent
proces,process
produkt,product
profit,profit
pudel,poodle
punkt,point
punt,punt
pupil,favourite
rabat,rebate
rad,rad
rajd,rally
rand,rand
rap,rap
raport,report
raz,blow
redaktor,editor
regiment,regiment
region,region
rekrut,recruit
rel,relatable
rem,rem
ren,rhenium
respekt,respect
ring,ring
rod,rhodium
rum,rum
sabat,Sabbath
salon,salon
sam,alone
san,san
seks,sex
sezon,season
skatol,skatole
sopran,soprano
spin,spin
stal,steel
stan,state
standard,standard
step,steppe
student,student
stuk,knock
sublimat,corrosive sublimate
suk,souk
sukces,success
sum,catfish
super,excellent
nie wszystko złoto, co się świeci,all that glitters is not gold
czwartek,Thursday
niedziela,Sunday
piątek,Friday
poniedziałek,Monday
sobota,Saturday
środa,Wednesday
wtorek,Tuesday
Austria,Austria
Dania,Denmark
Francja,France
Niemcy,Germany
Rosja,Russia
Szwecja,Sweden
Ukraina,Ukraine
Anglia,England
świt,dawn
mój,my
syn,son
córka,daughter
matka,mother
satyna,sateen
ćma,moth
wiosna,spring
z,from
deszcz,rain
ze,about
noc,night
krowa,cow
kobieta,woman
mężczyzna,man
na,on
suka,bitch
mieć,have
musieć,must
pasja,passion
napój,drink
historia,history
bóbr,beaver
ogon,tail
obiad,dinner
czapka,cap
głowa,head
wieśniak,peasant
para,pair
celownik,sight
muszka,small
dzień,daytime
mianownik,nominative
dopełniacz,genitive
biernik,accusative
narzędnik,instrumental
miejscownik,locative
wołacz,vocative
Wikisłownikarz:Szwejk,:en:User:Szwejk
należeć,belong
pijany,drunk
panna,miss
bałwan,snowman
kuchnia,kitchen
czekać,wait
krzyż,cross
pod,under
nad,over
internetowy,internet
korzystać,use
my,we
merdać,wag
zaciągać,enlist
be,yuck
odlotowy,cool
gregoriański,Gregorian
od,from
lub,or
że,that
ona,she
ty,you
tylko,only
jesień,autumn
moneta,coin
jutro,tomorrow
czy,if
ich,their
się,-self
nic,nothing
imiesłów,participle
wulgaryzm,vulgarism
rzeczownik,noun
czasownik,verb
szczur,rat
przymiotnik,adjective
rodzajnik,article
liczebnik,numeral
państwo,state
człowiek,human
mięta,mint
okrutny,cruel
warząchew,ladle
móc,can
szczypawka,earwig
wrzątek,boil
ezoteryczny,esoteric
samochód,car
krztusiec,pertussis
zgryz,occlusion
trucizna,poison
wróbelek,little
krzyżak,cross spider
kantyna,canteen
optymalny,optimal
prenumerator,subscriber
prenumerata,subscription
renoma,renown
bonus,bonus
magister,Master
genus,genus
umbra,umber
sznurowadło,shoelace
łach,rag
osoba,person
który,which
morświn,porpoise
dyspozytornia,dispatcher's office
kloszard,clochard
halabarda,halberd
wiosło,oar
premiera,premiere
używać,use
flamaster,marker
desperat,despairer
tabela,table
gruszka,pear
aerodrom,aerodrome
ulubiony,favourite
przez,across
odkurzacz,vacuum cleaner
łokieć,elbow
tautologia,tautology
język,tongue
autohipnoza,autohypnosis
autohipnotyczny,autohypnotic
skrzypek,violinist
mięso,meat
Albania,Albania
lato,summer
Białoruś,Belarus
za,behind
czas,time
Norwegia,Norway
mecenas,sponsor
europejski,European
cesarz,emperor
cesarzowa,empress
Holandia,Netherlands
spisek,plot
tajny,secret
Czechy,Czechia
Republika Czeska,Czech Republic
radio,radio
LA,LA
OK,OK
bańka,can
cykor,chicken
cynk,zinc
dolina,valley
kimono,kimono
kit,putty
klamka,door handle
koja,berth
kosa,scythe
kwadrat,square
limo,black eye
omega,omega
planeta,planet
sikora,tit
wacha,wahoo
wapniak,geezer
sterczeć,stick out
angielka,veka
migawka,shutter
towar,merchandise
berbelucha,jage
garować,proof
gapa,booby
golarz,barber
góra,mountain
guzik,button
tuleja,bushing
mączka,meal
mora,moiré
motorowy,motor
kasta,caste
katana,katana
kij,stick
kromka,slice
kusić,tempt
łata,patch
papuga,parrot
siano,hay
skiba,slice
sklep,shop
skład,line-up
skorupa,crust
skrzydło,wing
spiłować,file
spodek,saucer
statki,battleship
stołowy,table
przebierać,shuffle
dynks,thingy
elektryk,electrician
trzeba,one
potrzeba,need
Wrocław,Wroclaw
Lwów,Lviv
Gdańsk,Gdańsk
Warszawa,Warsaw
coś,something
ktoś,someone
ale,but
ta,this
dla,for
bardzo,very
bez,sambucus
tak,so
część,part
wy,you
tydzień,week
co,what
dobry,good
kto,who
okay,okay
zebra,zebra
zero,zero
najemnik,mercenary
poczta,post
bank,bank
nigdy,never
zawsze,always
Estonia,Estonia
polski,Polish
mafia,mafia
gondola,gondola
cache,cache
Wenecja,Venice
Republika Wenecka,Venetian Republic
Piotr,Peter
pijak,drunk
pić,drink
wrotka,roller
skejt,skater
UE,EU
Unia Europejska,European Union
USA,USA
CD,CD
cd.,continued
cdn.,to be continued
c.b.d.o.,Q.E.D.
mikrofon,microphone
lód,ice
Mt,Matthew
Mk,Mk
Tytus,Titus
sic,sic
jajo,ovum
malaria,malaria
tu,here
Rzym,Rome
AD,AD
wir,whirlpool
anima,anima
-acz,-er
tzw.,so-called
tak zwany,so-called
itd.,etc.
dzisiaj,today
ergo,ergo
algorytm,algorithm
dostęp,access
katalog,directory
klient,customer
kod,code
kompilator,compiler
modem,modem
monitor,monitor
procesor,processor
program,program
routing,routing
serwer,server
sterownik,device
system operacyjny,operating system
system plików,file system
szyfr,cipher
tunel,tunnel
użytkownik,user
driver,driver
błąd,error
trolling,trolling
drukarka,printer
klawiatura,keyboard
mysz,mouse
nagrywarka,burner
sieć,net
keyboard,electronic keyboard
Brenner,Brenner Pass
narzędzie,tool
urządzenie,device
edytować,edit
formatować,format
inicjalizować,initialise
instalować,install
konfigurować,configure
kopiować,copy
logować,log in
włączać,turn on
wylogowywać,log out
wyłączać,turn off
zapisywać,note
zatrzymywać,stop
Monachium,Munich
format,format
stop,alloy
ryba,fish
Rdz,Gen.
Wyj,Ex.
Lb,Num.
Kpł,Lev.
Pwt,Deut.
Joz,Joshua
ten się śmieje, kto się śmieje ostatni,he who laughs last, laughs best
skr.,abbr.
nigdzie,nowhere
barszcz,borscht
aktyn,actinium
ameryk,americium
antymon,antimony
argon,argon
arsen,arsenic
astat,astatine
berkel,berkelium
beryl,beryllium
bizmut,bismuth
bohr,bohrium
brom,bromine
cer,cerium
cez,cesium
chlor,chlorine
chrom,chromium
cyna,tin
cyrkon,zirconium
darmsztadt,darmstadtium
dubn,dubnium
dysproz,dysprosium
einstein,einsteinium
erb,erbium
europ,europium
fluor,fluorine
frans,francium
gadolin,gadolinium
german,germanium
glin,aluminum
hafn,hafnium
holm,holmium
iryd,iridium
iterb,ytterbium
itr,yttrium
jod,iodine
kadm,cadmium
kaliforn,californium
kiur,curium
krypton,krypton
krzem,silicon
ksenon,xenon
lantan,lanthanum
lorens,lawrencium
lutet,lutetium
magnez,magnesium
meitner,meitnerium
mendelew,mendelevium
miedź,copper
molibden,molybdenum
neodym,neodymium
neon,neon
neptun,neptunium
nikiel,nickel
niob,niobium
ołów,lead
osm,osmium
pallad,palladium
platyna,platinum
pluton,plutonium
polon,polonium
prazeodym,praseodymium
promet,promethium
protaktyn,protactinium
radon,radon
rtęć,mercury
rubid,rubidium
ruten,ruthenium
samar,samarium
seaborg,seaborgium
selen,selenium
siarka,sulfur
skand,scandium
sód,sodium
srebro,silver
stront,strontium
tal,thallium
tantal,tantalum
technet,technetium
tellur,tellurium
terb,terbium
tlen,oxygen
tor,thorium
tytan,titan
ununbium,ununbium
unununium,unununium
uran,uranium
wanad,vanadium
wapń,calcium
węgiel,carbon
wodór,hydrogen
wolfram,tungsten
złoto,gold
żelazo,iron
karbon,Carboniferous
koper,dill
ununhexium,ununhexium
ununoctium,ununoctium
ununpentium,ununpentium
ununquadium,ununquadium
ununtrium,ununtrium
lead,lead
Żyd,Jew
nylon,nylon
nie ma,there be
nie (być),there be
agrest,gooseberry
imię,name
gryzoń,rodent
wirtualny,virtual
prosty,straight
chemiczny,chemical
atomowy,atomic
papier,paper
sikora bogatka,great tit
lupa,magnifying glass
kosz,basket
im,the
go,go
noktowizor,night-vision
snajper,sniper
nornica,vole
zachód,set
